Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Nouveaux Bilans Alimentaire","158","Niger","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","23","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","159","Nigéria","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","214","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","162","Norvège","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","111","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","153","Nouvelle-Calédonie","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","10","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","156","Nouvelle-Zélande","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","200","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","221","Oman","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","114","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","226","Ouganda","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","68","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","235","Ouzbékistan","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","59","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","165","Pakistan","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","1000","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","166","Panama","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","192","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","168","Papouasie-Nouvelle-Guinée","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","22","S","Données standardisées"
