Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","113","Kirghizistan","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","1098.013915","Fc","Donnée calculée",""
"MK","Indicateurs macro","83","Kiribati","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","1700.006902","Fc","Donnée calculée",""
"MK","Indicateurs macro","118","Koweït","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","33132.521455","Fc","Donnée calculée",""
"MK","Indicateurs macro","122","Lesotho","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","1313.751575","Fc","Donnée calculée",""
"MK","Indicateurs macro","119","Lettonie","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","15478.160979","Fc","Donnée calculée",""
"MK","Indicateurs macro","121","Liban","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","7023.387438","Fc","Donnée calculée",""
"MK","Indicateurs macro","123","Libéria","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","403.20919","Fc","Donnée calculée",""
"MK","Indicateurs macro","124","Libye","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","1979.878239","Fc","Donnée calculée",""
"MK","Indicateurs macro","125","Liechtenstein","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","159521.279373","Fc","Donnée calculée",""
"MK","Indicateurs macro","126","Lituanie","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","16482.292064","Fc","Donnée calculée",""
"MK","Indicateurs macro","256","Luxembourg","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","108872.316501","Fc","Donnée calculée",""
"MK","Indicateurs macro","154","Macédoine du Nord","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","5253.773618","Fc","Donnée calculée",""
"MK","Indicateurs macro","129","Madagascar","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","480.052609","Fc","Donnée calculée",""
"MK","Indicateurs macro","131","Malaisie","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","11528.343691","Fc","Donnée calculée",""
"MK","Indicateurs macro","130","Malawi","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","489.845133","Fc","Donnée calculée",""
"MK","Indicateurs macro","132","Maldives","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","8971.128507","Fc","Donnée calculée",""
"MK","Indicateurs macro","133","Mali","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","996.356168","Fc","Donnée calculée",""
"MK","Indicateurs macro","134","Malte","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","29367.679409","Fc","Donnée calculée",""
"MK","Indicateurs macro","143","Maroc","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","3541.189589","Fc","Donnée calculée",""
"MK","Indicateurs macro","137","Maurice","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","10201.201098","Fc","Donnée calculée",""
"MK","Indicateurs macro","136","Mauritanie","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","1293.094215","Fc","Donnée calculée",""
"MK","Indicateurs macro","138","Mexique","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","9947.908129","Fc","Donnée calculée",""
"MK","Indicateurs macro","145","Micronésie (États fédérés de)","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","2863.337716","Fc","Donnée calculée",""
"MK","Indicateurs macro","140","Monaco","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","190608.278964","Fc","Donnée calculée",""
